class,timestamp,Difficulty,Performance,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
0,19:03:36.258,1,1,11450.49,-17722.23,-9138.53,-11329.07,-9784.12,-15044.29,141252.14,147421.95
0,19:03:36.259,1,1,11368.92,-17716.13,-9211.47,-11368.12,-9850.12,-15079.0,141282.27,147472.56
0,19:03:36.259,1,1,11220.24,-17731.46,-9251.54,-11318.23,-9849.3,-15029.2,141261.44,147430.11
0,19:03:36.259,1,1,11208.93,-17749.43,-9200.51,-11240.56,-9777.61,-14949.65,141220.48,147353.25
0,19:03:36.259,1,1,11369.46,-17746.68,-9113.54,-11232.24,-9718.56,-14934.34,141220.38,147352.69
0,19:03:36.259,1,1,11476.73,-17727.88,-9110.84,-11301.42,-9753.09,-14996.52,141262.8,147429.64
0,19:03:36.259,1,1,11395.59,-17719.5,-9184.8,-11341.7,-9817.94,-15034.25,141291.03,147478.59
0,19:03:36.259,1,1,11241.05,-17731.66,-9229.37,-11294.22,-9814.07,-14984.36,141267.73,147433.69
0,19:03:36.259,1,1,11218.25,-17749.47,-9189.63,-11227.01,-9750.86,-14913.96,141226.11,147355.95
0,19:03:36.260,1,1,11364.34,-17750.99,-9113.45,-11232.29,-9706.85,-14915.23,141229.25,147357.92
0,19:03:36.260,1,1,11461.33,-17733.54,-9116.4,-11310.81,-9748.85,-14987.36,141272.5,147435.55
0,19:03:36.260,1,1,11374.22,-17725.8,-9194.52,-11356.05,-9819.99,-15033.25,141301.89,147485.98
0,19:03:36.260,1,1,11219.84,-17738.57,-9242.78,-11314.27,-9823.08,-14993.55,141279.73,147442.55
0,19:03:36.260,1,1,11200.64,-17757.7,-9201.18,-11245.97,-9754.68,-14925.24,141238.97,147365.47
0,19:03:36.260,1,1,11346.42,-17755.8,-9128.21,-11254.68,-9706.78,-14930.83,141237.61,147362.67
0,19:03:36.260,1,1,11445.88,-17738.1,-9139.29,-11337.3,-9753.32,-15011.07,141280.36,147439.83
0,19:03:36.260,1,1,11359.94,-17730.56,-9225.55,-11387.72,-9830.68,-15063.44,141310.41,147491.36
0,19:03:36.260,1,1,11203.63,-17740.11,-9277.47,-11346.53,-9836.73,-15027.75,141285.5,147445.42
0,19:03:36.260,1,1,11178.8,-17757.52,-9240.01,-11277.57,-9777.3,-14968.47,141242.92,147366.7
0,19:03:36.260,1,1,11328.51,-17757.32,-9165.02,-11279.9,-9731.88,-14969.34,141242.81,147364.94
0,19:03:36.260,1,1,11438.73,-17740.71,-9166.5,-11348.41,-9771.22,-15034.92,141286.67,147442.94
0,19:03:36.260,1,1,11356.54,-17731.73,-9242.27,-11389.38,-9843.24,-15077.44,141315.8,147493.77
0,19:03:36.260,1,1,11201.38,-17744.4,-9291.91,-11345.37,-9850.17,-15040.51,141294.45,147451.95
0,19:03:36.260,1,1,11184.7,-17763.51,-9245.82,-11268.12,-9784.74,-14966.75,141253.67,147374.86
0,19:03:36.260,1,1,11334.9,-17761.77,-9165.31,-11265.77,-9735.44,-14962.86,141251.13,147370.2
0,19:03:36.260,1,1,11442.42,-17743.62,-9164.77,-11337.23,-9775.85,-15032.24,141293.22,147446.2
0,19:03:36.261,1,1,11363.45,-17734.21,-9238.38,-11378.36,-9842.39,-15074.58,141322.56,147497.64
0,19:03:36.261,1,1,11212.73,-17747.35,-9280.15,-11331.04,-9842.95,-15028.37,141302.53,147457.31
0,19:03:36.261,1,1,11190.6,-17767.11,-9233.71,-11254.91,-9772.36,-14951.68,141262.3,147380.45
0,19:03:36.261,1,1,11335.53,-17766.6,-9157.11,-11257.03,-9719.57,-14947.06,141260.19,147375.63
